"occupation1";"occupation2";"name1";"name2";"weight";"count";"max_count"
"11-3031.03";"11-3051.02";"11-3031.03";"11-3051.02";0,528089887640449;47;89
"11-3031.03";"11-9041.01";"11-3031.03";"11-9041.01";0,629213483146067;56;89
"11-3031.03";"11-9179.02";"11-3031.03";"11-9179.02";0,696629213483146;62;89
"11-3031.03";"13-1021.00";"11-3031.03";"13-1021.00";0,741573033707865;66;89
"11-3031.03";"13-1074.00";"11-3031.03";"13-1074.00";0,112359550561798;10;89
"11-3031.03";"13-1199.06";"11-3031.03";"13-1199.06";0,752808988764045;67;89
"11-3031.03";"15-1231.00";"11-3031.03";"15-1231.00";0,674157303370786;60;89
"11-3031.03";"15-2099.01";"11-3031.03";"15-2099.01";0,685393258426966;61;89
"11-3031.03";"17-2199.10";"11-3031.03";"17-2199.10";0,707865168539326;63;89
"11-3031.03";"17-3025.00";"11-3031.03";"17-3025.00";0,438202247191011;39;89
"11-3031.03";"17-3026.00";"11-3031.03";"17-3026.00";0,584269662921348;52;89
"11-3031.03";"19-1029.01";"11-3031.03";"19-1029.01";0,791208791208791;72;91
"11-3031.03";"19-4051.02";"11-3031.03";"19-4051.02";0,51685393258427;46;89
"11-3031.03";"19-4099.03";"11-3031.03";"19-4099.03";0,736263736263736;67;91
"11-3031.03";"21-1094.00";"11-3031.03";"21-1094.00";0,617977528089888;55;89
"11-3031.03";"27-3042.00";"11-3031.03";"27-3042.00";0,674157303370786;60;89
"11-3031.03";"29-1011.00";"11-3031.03";"29-1011.00";0,6;54;90
"11-3031.03";"29-1021.00";"11-3031.03";"29-1021.00";0,50561797752809;45;89
"11-3031.03";"29-1022.00";"11-3031.03";"29-1022.00";0,610526315789474;58;95
"11-3031.03";"29-1071.01";"11-3031.03";"29-1071.01";0,536082474226804;52;97
"11-3031.03";"29-1124.00";"11-3031.03";"29-1124.00";0,458333333333333;44;96
"11-3031.03";"29-1126.00";"11-3031.03";"29-1126.00";0,515789473684211;49;95
"11-3031.03";"29-1141.01";"11-3031.03";"29-1141.01";0,629213483146067;56;89
"11-3031.03";"29-1211.00";"11-3031.03";"29-1211.00";0,584269662921348;52;89
"11-3031.03";"29-1217.00";"11-3031.03";"29-1217.00";0,775280898876405;69;89
"11-3031.03";"29-1223.00";"11-3031.03";"29-1223.00";0,729166666666667;70;96
"11-3031.03";"29-1229.04";"11-3031.03";"29-1229.04";0,707865168539326;63;89
"11-3031.03";"29-1229.06";"11-3031.03";"29-1229.06";0,617647058823529;63;102
"11-3031.03";"29-2011.00";"11-3031.03";"29-2011.00";0,572916666666667;55;96
"11-3031.03";"29-2012.00";"11-3031.03";"29-2012.00";0,565217391304348;52;92
"11-3031.03";"29-2031.00";"11-3031.03";"29-2031.00";0,535353535353535;53;99
"11-3031.03";"29-2032.00";"11-3031.03";"29-2032.00";0,51063829787234;48;94
"11-3031.03";"29-2033.00";"11-3031.03";"29-2033.00";0,538461538461538;49;91
"11-3031.03";"29-2055.00";"11-3031.03";"29-2055.00";0,48314606741573;43;89
"11-3031.03";"29-9092.00";"11-3031.03";"29-9092.00";0,786516853932584;70;89
"11-3031.03";"31-1121.00";"11-3031.03";"31-1121.00";0,58;58;100
"11-3031.03";"31-9093.00";"11-3031.03";"31-9093.00";0,444444444444444;44;99
"11-3031.03";"31-9095.00";"11-3031.03";"31-9095.00";0,597826086956522;55;92
"11-3031.03";"33-3031.00";"11-3031.03";"33-3031.00";0,460674157303371;41;89
"11-3031.03";"33-3051.04";"11-3031.03";"33-3051.04";0,571428571428571;52;91
"11-3031.03";"33-9093.00";"11-3031.03";"33-9093.00";0,112359550561798;10;89
"11-3031.03";"33-9099.02";"11-3031.03";"33-9099.02";0,636363636363636;63;99
"11-3031.03";"39-2011.00";"11-3031.03";"39-2011.00";0,543689320388349;56;103
"11-3031.03";"39-3012.00";"11-3031.03";"39-3012.00";0,640449438202247;57;89
"11-3031.03";"39-3093.00";"11-3031.03";"39-3093.00";0,544444444444444;49;90
"11-3031.03";"39-5093.00";"11-3031.03";"39-5093.00";0,112359550561798;10;89
"11-3031.03";"39-5094.00";"11-3031.03";"39-5094.00";0,50561797752809;45;89
"11-3031.03";"41-4011.00";"11-3031.03";"41-4011.00";0,722222222222222;65;90
"11-3031.03";"43-4011.00";"11-3031.03";"43-4011.00";0,764044943820225;68;89
"11-3031.03";"43-4071.00";"11-3031.03";"43-4071.00";0,662921348314607;59;89
"11-3031.03";"43-4181.00";"11-3031.03";"43-4181.00";0,66304347826087;61;92
"11-3031.03";"45-2011.00";"11-3031.03";"45-2011.00";0,537634408602151;50;93
"11-3031.03";"45-4021.00";"11-3031.03";"45-4021.00";0,112359550561798;10;89
"11-3031.03";"47-2022.00";"11-3031.03";"47-2022.00";0,112359550561798;10;89
"11-3031.03";"47-2041.00";"11-3031.03";"47-2041.00";0,460674157303371;41;89
"11-3031.03";"47-2042.00";"11-3031.03";"47-2042.00";0,112359550561798;10;89
"11-3031.03";"47-2141.00";"11-3031.03";"47-2141.00";0,422680412371134;41;97
"11-3031.03";"47-2142.00";"11-3031.03";"47-2142.00";0,112359550561798;10;89
"11-3031.03";"47-3011.00";"11-3031.03";"47-3011.00";0,370786516853933;33;89
"11-3031.03";"47-3012.00";"11-3031.03";"47-3012.00";0,359550561797753;32;89
"11-3031.03";"47-3014.00";"11-3031.03";"47-3014.00";0,112359550561798;10;89
"11-3031.03";"47-3015.00";"11-3031.03";"47-3015.00";0,43956043956044;40;91
"11-3031.03";"47-3016.00";"11-3031.03";"47-3016.00";0,112359550561798;10;89
"11-3031.03";"47-4091.00";"11-3031.03";"47-4091.00";0,112359550561798;10;89
"11-3031.03";"47-5011.00";"11-3031.03";"47-5011.00";0,112359550561798;10;89
"11-3031.03";"47-5012.00";"11-3031.03";"47-5012.00";0,112359550561798;10;89
"11-3031.03";"47-5013.00";"11-3031.03";"47-5013.00";0,366666666666667;33;90
"11-3031.03";"47-5022.00";"11-3031.03";"47-5022.00";0,269662921348315;24;89
"11-3031.03";"47-5032.00";"11-3031.03";"47-5032.00";0,112359550561798;10;89
"11-3031.03";"47-5051.00";"11-3031.03";"47-5051.00";0,112359550561798;10;89
"11-3031.03";"49-3011.00";"11-3031.03";"49-3011.00";0,337078651685393;30;89
"11-3031.03";"49-3022.00";"11-3031.03";"49-3022.00";0,382022471910112;34;89
"11-3031.03";"49-3093.00";"11-3031.03";"49-3093.00";0,415730337078652;37;89
