"skill1";"skill2";"name1";"name2";"weight";"count";"max_count"
"1.A.1.a.1";"1.A.1.a.2";"Oral Comprehension";"Written Comprehension";0,875;42;48
"1.A.1.a.1";"1.A.1.a.3";"Oral Comprehension";"Oral Expression";0,916666666666667;44;48
"1.A.1.a.1";"1.A.1.a.4";"Oral Comprehension";"Written Expression";0,833333333333333;40;48
"1.A.1.a.1";"1.A.1.b.1";"Oral Comprehension";"Fluency of Ideas";0,791666666666667;38;48
"1.A.1.a.1";"1.A.1.b.2";"Oral Comprehension";"Originality";0,708333333333333;34;48
"1.A.1.a.1";"1.A.1.b.3";"Oral Comprehension";"Problem Sensitivity";0,8125;39;48
"1.A.1.a.1";"1.A.1.b.4";"Oral Comprehension";"Deductive Reasoning";0,770833333333333;37;48
"1.A.1.a.1";"1.A.1.b.5";"Oral Comprehension";"Inductive Reasoning";0,833333333333333;40;48
"1.A.1.a.1";"1.A.1.b.6";"Oral Comprehension";"Information Ordering";0,770833333333333;37;48
"1.A.1.a.1";"1.A.1.b.7";"Oral Comprehension";"Category Flexibility";0,729166666666667;35;48
"1.A.1.a.1";"1.A.1.c.1";"Oral Comprehension";"Mathematical Reasoning";0,625;30;48
"1.A.1.a.1";"1.A.1.c.2";"Oral Comprehension";"Number Facility";0,604166666666667;29;48
"1.A.1.a.1";"1.A.1.d.1";"Oral Comprehension";"Memorization";0,708333333333333;34;48
"1.A.1.a.1";"1.A.1.e.1";"Oral Comprehension";"Speed of Closure";0,75;36;48
"1.A.1.a.1";"1.A.1.e.2";"Oral Comprehension";"Flexibility of Closure";0,729166666666667;35;48
"1.A.1.a.1";"1.A.1.e.3";"Oral Comprehension";"Perceptual Speed";0,625;30;48
"1.A.1.a.1";"1.A.1.f.2";"Oral Comprehension";"Visualization";0,645833333333333;31;48
"1.A.1.a.1";"1.A.1.g.1";"Oral Comprehension";"Selective Attention";0,708333333333333;34;48
"1.A.1.a.1";"1.A.1.g.2";"Oral Comprehension";"Time Sharing";0,770833333333333;37;48
"1.A.1.a.1";"1.A.3.c.2";"Oral Comprehension";"Dynamic Flexibility";0,375;18;48
"1.A.1.a.1";"1.A.4.a.1";"Oral Comprehension";"Near Vision";0,714285714285714;35;49
"1.A.1.a.1";"1.A.4.a.2";"Oral Comprehension";"Far Vision";0,6875;33;48
"1.A.1.a.1";"1.A.4.b.4";"Oral Comprehension";"Speech Recognition";0,833333333333333;40;48
"1.A.1.a.1";"1.A.4.b.5";"Oral Comprehension";"Speech Clarity";0,8125;39;48
"1.A.1.a.1";"1.C.1.a";"Oral Comprehension";"Achievement/Effort";0,75;36;48
"1.A.1.a.1";"1.C.1.b";"Oral Comprehension";"Persistence";0,666666666666667;34;51
"1.A.1.a.1";"1.C.1.c";"Oral Comprehension";"Initiative";0,74;37;50
"1.A.1.a.1";"1.C.2.b";"Oral Comprehension";"Leadership";0,6875;33;48
"1.A.1.a.1";"1.C.3.a";"Oral Comprehension";"Cooperation";0,74;37;50
"1.A.1.a.1";"1.C.4.a";"Oral Comprehension";"Self-Control";0,76;38;50
"1.A.1.a.1";"1.C.4.b";"Oral Comprehension";"Stress Tolerance";0,775510204081633;38;49
"1.A.1.a.1";"1.C.4.c";"Oral Comprehension";"Adaptability/Flexibility";0,759259259259259;41;54
"1.A.1.a.1";"1.C.5.a";"Oral Comprehension";"Dependability";0,735849056603774;39;53
"1.A.1.a.1";"1.C.5.b";"Oral Comprehension";"Attention to Detail";0,735849056603774;39;53
"1.A.1.a.1";"1.C.5.c";"Oral Comprehension";"Integrity";0,730769230769231;38;52
"1.A.1.a.1";"1.C.6";"Oral Comprehension";"Independence";0,645833333333333;31;48
"1.A.1.a.1";"1.C.7.a";"Oral Comprehension";"Innovation";0,645833333333333;31;48
"1.A.1.a.1";"1.C.7.b";"Oral Comprehension";"Analytical Thinking";0,770833333333333;37;48
"1.A.1.a.1";"2.A.1.a";"Oral Comprehension";"Reading Comprehension";0,145833333333333;7;48
"1.A.1.a.1";"2.A.1.c";"Oral Comprehension";"Writing";0,208333333333333;10;48
"1.A.1.a.1";"2.A.1.e";"Oral Comprehension";"Mathematics";0,208333333333333;10;48
"1.A.1.a.1";"2.A.2.b";"Oral Comprehension";"Active Learning";0,104166666666667;5;48
"1.A.1.a.1";"2.B.2.i";"Oral Comprehension";"Complex Problem Solving";0,0833333333333333;4;48
"1.A.1.a.1";"2.B.3.e";"Oral Comprehension";"Programming";0,3125;15;48
"1.A.1.a.1";"2.B.4.e";"Oral Comprehension";"Judgment and Decision Making";0,0416666666666667;2;48
"1.A.1.a.1";"2.B.4.g";"Oral Comprehension";"Systems Analysis";0,208333333333333;10;48
"1.A.1.a.1";"2.B.4.h";"Oral Comprehension";"Systems Evaluation";0,1875;9;48
"1.A.1.a.1";"2.B.5.b";"Oral Comprehension";"Management of Financial Resources";0,145833333333333;7;48
"1.A.1.a.1";"2.C.1.a";"Oral Comprehension";"Administration and Management";0,541666666666667;26;48
"1.A.1.a.1";"2.C.1.c";"Oral Comprehension";"Economics and Accounting";0,416666666666667;20;48
"1.A.1.a.1";"2.C.1.d";"Oral Comprehension";"Sales and Marketing";0,4375;21;48
"1.A.1.a.1";"2.C.1.e";"Oral Comprehension";"Customer and Personal Service";0,666666666666667;32;48
"1.A.1.a.1";"2.C.1.f";"Oral Comprehension";"Personnel and Human Resources";0,5625;27;48
