O.NET.SOC.Code,Cluster
11-1011.00,1
11-1021.00,1
11-3061.00,1
11-3111.00,1
11-9071.00,1
11-9161.00,1
13-1051.00,1
13-1075.00,1
13-2099.01,1
13-2099.04,1
15-1211.00,1
15-1232.00,1
15-1242.00,1
15-1243.00,1
15-2011.00,1
17-1022.00,2
17-2051.01,1
17-2071.00,1
17-2199.09,1
17-2199.11,2
17-3029.01,2
19-1023.00,1
19-1031.03,1
19-1032.00,2
19-1041.00,1
19-2031.00,2
19-2041.00,1
19-2099.01,1
19-3032.00,1
19-3041.00,1
19-3092.00,1
19-3099.01,1
19-4012.01,2
19-4013.00,2
19-4042.00,2
19-4092.00,2
21-2011.00,1
21-2021.00,1
27-1011.00,1
27-1024.00,1
27-2012.03,1
29-1023.00,1
29-1141.02,1
29-1218.00,1
29-1224.00,1
29-1229.03,1
29-1229.05,1
29-2035.00,2
29-2053.00,1
31-1122.00,2
31-1133.00,2
31-2022.00,2
31-9099.02,2
33-3012.00,2
33-9032.00,2
35-2013.00,2
37-2011.00,2
39-9011.01,2
41-2022.00,2
41-9041.00,1
43-3041.00,1
43-4021.00,1
43-4061.00,1
43-4151.00,1
43-4171.00,1
43-5031.00,1
45-4011.00,2
47-2044.00,2
47-2121.00,2
47-2132.00,2
47-2211.00,2
47-3013.00,2
47-4021.00,2
47-5071.00,2
49-2097.00,2
49-9062.00,2
51-4035.00,2
51-4071.00,2
51-6061.00,2
51-6063.00,2
51-8021.00,2
51-8092.00,2
51-8093.00,2
51-9022.00,2
51-9023.00,2
51-9161.00,2
53-1043.00,2
53-3033.00,2
53-5022.00,2
53-7081.00,2
