"skill1","skill2","name1","name2","weight","count","occupation_count"
"1.A.1.a.1","1.A.1.a.2","Oral Comprehension","Written Comprehension",223.591500157587,202,202
"1.A.1.a.1","1.A.1.a.3","Oral Comprehension","Oral Expression",238.791772715985,218,218
"1.A.1.a.1","1.A.1.a.4","Oral Comprehension","Written Expression",212.776181765003,190,190
"1.A.1.a.1","1.A.1.b.1","Oral Comprehension","Fluency of Ideas",183.227669058041,164,164
"1.A.1.a.1","1.A.1.b.2","Oral Comprehension","Originality",182.454291074249,163,163
"1.A.1.a.1","1.A.1.b.3","Oral Comprehension","Problem Sensitivity",180.278860034247,167,167
"1.A.1.a.1","1.A.1.b.4","Oral Comprehension","Deductive Reasoning",196.756432805009,180,180
"1.A.1.a.1","1.A.1.b.5","Oral Comprehension","Inductive Reasoning",182.878575269286,165,165
"1.A.1.a.1","1.A.1.b.6","Oral Comprehension","Information Ordering",172.484612685052,158,158
"1.A.1.a.1","1.A.1.b.7","Oral Comprehension","Category Flexibility",165.663223800048,151,151
"1.A.1.a.1","1.A.1.c.1","Oral Comprehension","Mathematical Reasoning",163.657136920078,142,142
"1.A.1.a.1","1.A.1.c.2","Oral Comprehension","Number Facility",160.922734161605,141,141
"1.A.1.a.1","1.A.1.d.1","Oral Comprehension","Memorization",179.788363458603,163,163
"1.A.1.a.1","1.A.1.e.1","Oral Comprehension","Speed of Closure",164.684030406536,149,149
"1.A.1.a.1","1.A.1.e.2","Oral Comprehension","Flexibility of Closure",153.489713800999,141,141
"1.A.1.a.1","1.A.1.e.3","Oral Comprehension","Perceptual Speed",136.374757282961,126,126
"1.A.1.a.1","1.A.1.f.1","Oral Comprehension","Spatial Orientation",56.1415032842087,49,49
"1.A.1.a.1","1.A.1.f.2","Oral Comprehension","Visualization",93.968267164549,86,86
"1.A.1.a.1","1.A.1.g.1","Oral Comprehension","Selective Attention",141.255986751323,129,129
"1.A.1.a.1","1.A.1.g.2","Oral Comprehension","Time Sharing",146.848200035954,136,136
"1.A.1.a.1","1.A.2.a.1","Oral Comprehension","Arm-Hand Steadiness",71.6975502538871,64,64
"1.A.1.a.1","1.A.2.a.2","Oral Comprehension","Manual Dexterity",61.8646536763572,55,55
"1.A.1.a.1","1.A.2.a.3","Oral Comprehension","Finger Dexterity",78.0954543202316,70,70
"1.A.1.a.1","1.A.2.b.1","Oral Comprehension","Control Precision",44.5919097386691,39,39
"1.A.1.a.1","1.A.2.b.2","Oral Comprehension","Multilimb Coordination",51.2618809074946,45,45
"1.A.1.a.1","1.A.2.b.3","Oral Comprehension","Response Orientation",58.0173097657526,52,52
"1.A.1.a.1","1.A.2.b.4","Oral Comprehension","Rate Control",50.9911962957717,46,46
"1.A.1.a.1","1.A.2.c.1","Oral Comprehension","Reaction Time",49.8053226969128,45,45
"1.A.1.a.1","1.A.2.c.2","Oral Comprehension","Wrist-Finger Speed",89.453161104266,80,80
"1.A.1.a.1","1.A.2.c.3","Oral Comprehension","Speed of Limb Movement",51.8176978481798,45,45
"1.A.1.a.1","1.A.3.a.1","Oral Comprehension","Static Strength",60.0413321265798,53,53
"1.A.1.a.1","1.A.3.a.2","Oral Comprehension","Explosive Strength",57.0617879805929,49,49
"1.A.1.a.1","1.A.3.a.3","Oral Comprehension","Dynamic Strength",70.116365320108,62,62
"1.A.1.a.1","1.A.3.a.4","Oral Comprehension","Trunk Strength",56.2716004790607,50,50
"1.A.1.a.1","1.A.3.b.1","Oral Comprehension","Stamina",73.4004688921247,64,64
"1.A.1.a.1","1.A.3.c.1","Oral Comprehension","Extent Flexibility",59.0674939393971,52,52
"1.A.1.a.1","1.A.3.c.2","Oral Comprehension","Dynamic Flexibility",47.6217186140567,42,42
"1.A.1.a.1","1.A.3.c.3","Oral Comprehension","Gross Body Coordination",72.2379199284929,63,63
"1.A.1.a.1","1.A.3.c.4","Oral Comprehension","Gross Body Equilibrium",68.0248556902369,60,60
"1.A.1.a.1","1.A.4.a.1","Oral Comprehension","Near Vision",161.984048765448,149,149
"1.A.1.a.1","1.A.4.a.2","Oral Comprehension","Far Vision",105.141605254304,98,98
"1.A.1.a.1","1.A.4.a.3","Oral Comprehension","Visual Color Discrimination",86.5674770774378,79,79
"1.A.1.a.1","1.A.4.a.4","Oral Comprehension","Night Vision",40.0705589846523,35,35
"1.A.1.a.1","1.A.4.a.5","Oral Comprehension","Peripheral Vision",41.7122574309471,36,36
"1.A.1.a.1","1.A.4.a.6","Oral Comprehension","Depth Perception",47.194518491118,44,44
"1.A.1.a.1","1.A.4.a.7","Oral Comprehension","Glare Sensitivity",48.2254563599082,42,42
"1.A.1.a.1","1.A.4.b.1","Oral Comprehension","Hearing Sensitivity",60.9769383390492,55,55
"1.A.1.a.1","1.A.4.b.2","Oral Comprehension","Auditory Attention",75.5488702854923,68,68
"1.A.1.a.1","1.A.4.b.3","Oral Comprehension","Sound Localization",44.125500058218,39,39
"1.A.1.a.1","1.A.4.b.4","Oral Comprehension","Speech Recognition",203.93190880491,185,185
"1.A.1.a.1","1.A.4.b.5","Oral Comprehension","Speech Clarity",201.502683726944,182,182
"1.A.1.a.1","1.C.1.a","Oral Comprehension","Achievement/Effort",179.23889564571,163,163
"1.A.1.a.1","1.C.1.b","Oral Comprehension","Persistence",185.075948699338,169,169
"1.A.1.a.1","1.C.1.c","Oral Comprehension","Initiative",174.721838233567,160,160
"1.A.1.a.1","1.C.2.b","Oral Comprehension","Leadership",152.160496674349,139,139
"1.A.1.a.1","1.C.3.a","Oral Comprehension","Cooperation",165.084097993491,151,151
"1.A.1.a.1","1.C.3.b","Oral Comprehension","Concern for Others",155.249112798177,138,138
"1.A.1.a.1","1.C.3.c","Oral Comprehension","Social Orientation",164.600563132403,145,145
"1.A.1.a.1","1.C.4.a","Oral Comprehension","Self-Control",153.389203176258,138,138
"1.A.1.a.1","1.C.4.b","Oral Comprehension","Stress Tolerance",169.96658652493,154,154
"1.A.1.a.1","1.C.4.c","Oral Comprehension","Adaptability/Flexibility",168.929980174793,154,154
"1.A.1.a.1","1.C.5.a","Oral Comprehension","Dependability",160.567033484189,147,147
"1.A.1.a.1","1.C.5.b","Oral Comprehension","Attention to Detail",163.977632495676,150,150
"1.A.1.a.1","1.C.5.c","Oral Comprehension","Integrity",196.807888650626,180,180
