"skill1","skill2","name1","name2","weight","count","occupation_count"
"1.A.1.a.1","1.C.3.b","Oral Comprehension","Concern for Others",131.792412548157,118,118
"1.A.1.a.1","1.C.3.c","Oral Comprehension","Social Orientation",127.800384462052,113,113
"1.A.1.a.1","1.C.4.a","Oral Comprehension","Self-Control",128.111997842758,116,116
"1.A.1.a.1","1.C.4.b","Oral Comprehension","Stress Tolerance",136.314405374058,124,124
"1.A.1.a.1","1.C.4.c","Oral Comprehension","Adaptability/Flexibility",139.027843026981,127,127
"1.A.1.a.1","1.C.5.a","Oral Comprehension","Dependability",118.192380308987,108,108
"1.A.1.a.1","1.C.5.b","Oral Comprehension","Attention to Detail",101.228223148739,92,92
"1.A.1.a.1","1.C.5.c","Oral Comprehension","Integrity",144.30714300187,131,131
"1.A.1.a.1","1.C.6","Oral Comprehension","Independence",122.906839805496,111,111
"1.A.1.a.1","1.C.7.a","Oral Comprehension","Innovation",121.350899408769,110,110
"1.A.1.a.1","1.C.7.b","Oral Comprehension","Analytical Thinking",133.141110516738,120,120
"1.A.1.a.1","2.A.1.a","Oral Comprehension","Reading Comprehension",150.314283587206,133,133
"1.A.1.a.1","2.A.1.b","Oral Comprehension","Active Listening",174.513517148177,158,158
"1.A.1.a.1","2.A.1.c","Oral Comprehension","Writing",154.390146872831,135,135
"1.A.1.a.1","2.A.1.d","Oral Comprehension","Speaking",159.052405254594,142,142
"1.A.1.a.1","2.A.1.e","Oral Comprehension","Mathematics",111.155378193448,97,97
"1.A.1.a.1","2.A.1.f","Oral Comprehension","Science",97.3199711694826,77,77
"1.A.1.a.1","2.A.2.a","Oral Comprehension","Critical Thinking",137.553107813085,125,125
"1.A.1.a.1","2.A.2.b","Oral Comprehension","Active Learning",147.019707756615,131,131
"1.A.1.a.1","2.A.2.c","Oral Comprehension","Learning Strategies",133.968027049718,116,116
"1.A.1.a.1","2.A.2.d","Oral Comprehension","Monitoring",115.176724719052,105,105
"1.A.1.a.1","2.B.1.a","Oral Comprehension","Social Perceptiveness",146.195836778299,131,131
"1.A.1.a.1","2.B.1.b","Oral Comprehension","Coordination",124.451177690973,113,113
"1.A.1.a.1","2.B.1.c","Oral Comprehension","Persuasion",159.23523559081,142,142
"1.A.1.a.1","2.B.1.d","Oral Comprehension","Negotiation",152.481345709174,135,135
"1.A.1.a.1","2.B.1.e","Oral Comprehension","Instructing",140.13581220844,122,122
"1.A.1.a.1","2.B.1.f","Oral Comprehension","Service Orientation",152.347177939033,135,135
"1.A.1.a.1","2.B.2.i","Oral Comprehension","Complex Problem Solving",126.701562278475,114,114
"1.A.1.a.1","2.B.3.a","Oral Comprehension","Operations Analysis",123.304700289217,105,105
"1.A.1.a.1","2.B.3.b","Oral Comprehension","Technology Design",90.4586582860196,80,80
"1.A.1.a.1","2.B.3.c","Oral Comprehension","Equipment Selection",32.219099635149,28,28
"1.A.1.a.1","2.B.3.d","Oral Comprehension","Installation",16.7753809595162,14,14
"1.A.1.a.1","2.B.3.e","Oral Comprehension","Programming",114.746815422117,97,97
"1.A.1.a.1","2.B.3.g","Oral Comprehension","Operations Monitoring",33.3912303772249,30,30
"1.A.1.a.1","2.B.3.h","Oral Comprehension","Operation and Control",27.7395421712969,24,24
"1.A.1.a.1","2.B.3.j","Oral Comprehension","Equipment Maintenance",24.7782810576533,21,21
"1.A.1.a.1","2.B.3.k","Oral Comprehension","Troubleshooting",36.2817371441429,32,32
"1.A.1.a.1","2.B.3.l","Oral Comprehension","Repairing",22.8335872122923,19,19
"1.A.1.a.1","2.B.3.m","Oral Comprehension","Quality Control Analysis",43.1070589860167,38,38
"1.A.1.a.1","2.B.4.e","Oral Comprehension","Judgment and Decision Making",133.371214659234,121,121
"1.A.1.a.1","2.B.4.g","Oral Comprehension","Systems Analysis",133.143852145262,118,118
"1.A.1.a.1","2.B.4.h","Oral Comprehension","Systems Evaluation",130.162037215202,115,115
"1.A.1.a.1","2.B.5.a","Oral Comprehension","Time Management",125.133569686379,114,114
"1.A.1.a.1","2.B.5.b","Oral Comprehension","Management of Financial Resources",100.996461707851,88,88
"1.A.1.a.1","2.B.5.c","Oral Comprehension","Management of Material Resources",94.504830004228,84,84
"1.A.1.a.1","2.B.5.d","Oral Comprehension","Management of Personnel Resources",126.86317677105,114,114
"1.A.1.a.1","2.C.1.a","Oral Comprehension","Administration and Management",122.888805434296,109,109
"1.A.1.a.1","2.C.1.b","Oral Comprehension","Administrative",135.193092987841,117,117
"1.A.1.a.1","2.C.1.c","Oral Comprehension","Economics and Accounting",117.263195855564,99,99
"1.A.1.a.1","2.C.1.d","Oral Comprehension","Sales and Marketing",102.610641896325,84,84
"1.A.1.a.1","2.C.1.e","Oral Comprehension","Customer and Personal Service",132.156244306514,115,115
"1.A.1.a.1","2.C.1.f","Oral Comprehension","Personnel and Human Resources",118.168463558203,103,103
"1.A.1.a.1","2.C.10","Oral Comprehension","Transportation",67.0136159409192,57,57
"1.A.1.a.1","2.C.2.a","Oral Comprehension","Production and Processing",50.399749902093,44,44
"1.A.1.a.1","2.C.2.b","Oral Comprehension","Food Production",57.2128365360039,45,45
"1.A.1.a.1","2.C.3.a","Oral Comprehension","Computers and Electronics",133.164825626981,116,116
"1.A.1.a.1","2.C.3.b","Oral Comprehension","Engineering and Technology",60.9603276146708,50,50
"1.A.1.a.1","2.C.3.c","Oral Comprehension","Design",61.4499324955976,51,51
"1.A.1.a.1","2.C.3.d","Oral Comprehension","Building and Construction",33.8077741943507,28,28
"1.A.1.a.1","2.C.3.e","Oral Comprehension","Mechanical",30.8168545618589,26,26
"1.A.1.a.1","2.C.4.a","Oral Comprehension","Mathematics",97.8538129188223,86,86
"1.A.1.a.1","2.C.4.b","Oral Comprehension","Physics",53.0194979992682,43,43
"1.A.1.a.1","2.C.4.c","Oral Comprehension","Chemistry",60.9527408956878,51,51
"1.A.1.a.1","2.C.4.d","Oral Comprehension","Biology",82.5878292262006,67,67
"1.A.1.a.1","2.C.4.e","Oral Comprehension","Psychology",136.20504779669,114,114
"1.A.1.a.1","2.C.4.f","Oral Comprehension","Sociology and Anthropology",121.760268924805,97,97
"1.A.1.a.1","2.C.4.g","Oral Comprehension","Geography",105.008423191354,86,86
"1.A.1.a.1","2.C.5.a","Oral Comprehension","Medicine and Dentistry",86.4132241175168,72,72
"1.A.1.a.1","2.C.5.b","Oral Comprehension","Therapy and Counseling",114.603912585101,94,94
"1.A.1.a.1","2.C.6","Oral Comprehension","Education and Training",105.94102709115,90,90
"1.A.1.a.1","2.C.7.a","Oral Comprehension","English Language",153.846257190355,136,136
"1.A.1.a.1","2.C.7.b","Oral Comprehension","Foreign Language",99.9931583743148,84,84
"1.A.1.a.1","2.C.7.c","Oral Comprehension","Fine Arts",91.0390656600116,72,72
"1.A.1.a.1","2.C.7.d","Oral Comprehension","History and Archeology",103.673925879103,82,82
"1.A.1.a.1","2.C.7.e","Oral Comprehension","Philosophy and Theology",120.066741254018,97,97
"1.A.1.a.1","2.C.8.a","Oral Comprehension","Public Safety and Security",84.4655546564802,75,75
"1.A.1.a.1","2.C.8.b","Oral Comprehension","Law and Government",115.130291635253,97,97
"1.A.1.a.1","2.C.9.a","Oral Comprehension","Telecommunications",112.388505761185,99,99
"1.A.1.a.1","2.C.9.b","Oral Comprehension","Communications and Media",143.953504972887,122,122
"1.A.1.a.1","4.A.1.a.1","Oral Comprehension","Getting Information",125.840558259584,115,115
"1.A.1.a.1","4.A.1.a.2","Oral Comprehension","Monitoring Processes, Materials, or Surroundings",67.1043077782504,62,62
"1.A.1.a.1","4.A.1.b.1","Oral Comprehension","Identifying Objects, Actions, and Events",93.0999236638104,85,85
"1.A.1.a.1","4.A.1.b.2","Oral Comprehension","Inspecting Equipment, Structures, or Materials",46.0861864787536,42,42
"1.A.1.a.1","4.A.1.b.3","Oral Comprehension","Estimating the Quantifiable Characteristics of Products, Events, or Information",79.8377689071135,73,73
"1.A.1.a.1","4.A.2.a.1","Oral Comprehension","Judging the Qualities of Objects, Services, or People",108.497348411882,99,99
"1.A.1.a.1","4.A.2.a.2","Oral Comprehension","Processing Information",126.795826547968,113,113
"1.A.1.a.1","4.A.2.a.3","Oral Comprehension","Evaluating Information to Determine Compliance with Standards",101.191673401415,91,91
"1.A.1.a.1","4.A.2.a.4","Oral Comprehension","Analyzing Data or Information",131.430969847648,115,115
"1.A.1.a.1","4.A.2.b.1","Oral Comprehension","Making Decisions and Solving Problems",121.527836102207,112,112
"1.A.1.a.1","4.A.2.b.2","Oral Comprehension","Thinking Creatively",126.927607756689,112,112
"1.A.1.a.1","4.A.2.b.3","Oral Comprehension","Updating and Using Relevant Knowledge",132.975600013605,120,120
"1.A.1.a.1","4.A.2.b.4","Oral Comprehension","Developing Objectives and Strategies",127.73815527486,113,113
"1.A.1.a.1","4.A.2.b.5","Oral Comprehension","Scheduling Work and Activities",127.443270271225,115,115
"1.A.1.a.1","4.A.2.b.6","Oral Comprehension","Organizing, Planning, and Prioritizing Work",137.971628048354,125,125
"1.A.1.a.1","4.A.3.a.1","Oral Comprehension","Performing General Physical Activities",58.1451343483212,51,51
"1.A.1.a.1","4.A.3.a.2","Oral Comprehension","Handling and Moving Objects",46.2932828239667,40,40
"1.A.1.a.1","4.A.3.a.3","Oral Comprehension","Controlling Machines and Processes",37.5479679233666,34,34
"1.A.1.a.1","4.A.3.a.4","Oral Comprehension","Operating Vehicles, Mechanized Devices, or Equipment",31.9898160870328,27,27
"1.A.1.a.1","4.A.3.b.1","Oral Comprehension","Working with Computers",157.875989744608,135,135
"1.A.1.a.1","4.A.3.b.2","Oral Comprehension","Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",47.2085672100209,41,41
"1.A.1.a.1","4.A.3.b.4","Oral Comprehension","Repairing and Maintaining Mechanical Equipment",24.0804058447138,21,21
"1.A.1.a.1","4.A.3.b.5","Oral Comprehension","Repairing and Maintaining Electronic Equipment",44.3621948244324,39,39
"1.A.1.a.1","4.A.3.b.6","Oral Comprehension","Documenting/Recording Information",127.063764257812,113,113
"1.A.1.a.1","4.A.4.a.1","Oral Comprehension","Interpreting the Meaning of Information for Others",133.520072864244,117,117
"1.A.1.a.1","4.A.4.a.2","Oral Comprehension","Communicating with Supervisors, Peers, or Subordinates",132.358553439137,121,121
"1.A.1.a.1","4.A.4.a.3","Oral Comprehension","Communicating with People Outside the Organization",152.736070150989,134,134
"1.A.1.a.1","4.A.4.a.4","Oral Comprehension","Establishing and Maintaining Interpersonal Relationships",161.488410697364,145,145
"1.A.1.a.1","4.A.4.a.5","Oral Comprehension","Assisting and Caring for Others",107.094585638695,93,93
"1.A.1.a.1","4.A.4.a.6","Oral Comprehension","Selling or Influencing Others",108.422343527541,92,92
"1.A.1.a.1","4.A.4.a.7","Oral Comprehension","Resolving Conflicts and Negotiating with Others",129.678466277747,114,114
"1.A.1.a.1","4.A.4.a.8","Oral Comprehension","Performing for or Working Directly with the Public",136.326229589774,115,115
"1.A.1.a.1","4.A.4.b.1","Oral Comprehension","Coordinating the Work and Activities of Others",120.745686242264,110,110
"1.A.1.a.1","4.A.4.b.2","Oral Comprehension","Developing and Building Teams",122.571298867625,110,110
