"occupation1";"occupation2";"name1";"name2";"weight";"count";"max_count"
"13-1074.00";"33-9093.00";"13-1074.00";"33-9093.00";0,474358974358974;37;78
"13-1074.00";"39-5093.00";"13-1074.00";"39-5093.00";0,583333333333333;42;72
"13-1074.00";"45-4021.00";"13-1074.00";"45-4021.00";0,36231884057971;25;69
"13-1074.00";"47-2022.00";"13-1074.00";"47-2022.00";0,420289855072464;29;69
"13-1074.00";"47-2042.00";"13-1074.00";"47-2042.00";0,414285714285714;29;70
"13-1074.00";"47-2142.00";"13-1074.00";"47-2142.00";0,463768115942029;32;69
"13-1074.00";"47-3014.00";"13-1074.00";"47-3014.00";0,405797101449275;28;69
"13-1074.00";"47-3016.00";"13-1074.00";"47-3016.00";0,36231884057971;25;69
"13-1074.00";"47-4091.00";"13-1074.00";"47-4091.00";0,457142857142857;32;70
"13-1074.00";"47-5011.00";"13-1074.00";"47-5011.00";0,471428571428571;33;70
"13-1074.00";"47-5012.00";"13-1074.00";"47-5012.00";0,472222222222222;34;72
"13-1074.00";"47-5032.00";"13-1074.00";"47-5032.00";0,463768115942029;32;69
"13-1074.00";"47-5051.00";"13-1074.00";"47-5051.00";0,492753623188406;34;69
"13-1074.00";"49-9045.00";"13-1074.00";"49-9045.00";0,371428571428571;26;70
"13-1074.00";"49-9095.00";"13-1074.00";"49-9095.00";0,430555555555556;31;72
"13-1074.00";"51-2061.00";"13-1074.00";"51-2061.00";0,40506329113924;32;79
"13-1074.00";"51-9071.06";"13-1074.00";"51-9071.06";0,567567567567568;42;74
"13-1074.00";"51-9141.00";"13-1074.00";"51-9141.00";0,434782608695652;30;69
"13-1074.00";"53-7031.00";"13-1074.00";"53-7031.00";0,36231884057971;25;69
"33-9093.00";"39-5093.00";"33-9093.00";"39-5093.00";0,538461538461538;42;78
"33-9093.00";"45-4021.00";"33-9093.00";"45-4021.00";0,41025641025641;32;78
"33-9093.00";"47-2022.00";"33-9093.00";"47-2022.00";0,397435897435897;31;78
"33-9093.00";"47-2042.00";"33-9093.00";"47-2042.00";0,41025641025641;32;78
"33-9093.00";"47-2142.00";"33-9093.00";"47-2142.00";0,358974358974359;28;78
"33-9093.00";"47-3014.00";"33-9093.00";"47-3014.00";0,525641025641026;41;78
"33-9093.00";"47-3016.00";"33-9093.00";"47-3016.00";0,41025641025641;32;78
"33-9093.00";"47-4091.00";"33-9093.00";"47-4091.00";0,474358974358974;37;78
"33-9093.00";"47-5011.00";"33-9093.00";"47-5011.00";0,435897435897436;34;78
"33-9093.00";"47-5012.00";"33-9093.00";"47-5012.00";0,474358974358974;37;78
"33-9093.00";"47-5032.00";"33-9093.00";"47-5032.00";0,474358974358974;37;78
"33-9093.00";"47-5051.00";"33-9093.00";"47-5051.00";0,384615384615385;30;78
"33-9093.00";"49-9045.00";"33-9093.00";"49-9045.00";0,525641025641026;41;78
"33-9093.00";"49-9095.00";"33-9093.00";"49-9095.00";0,448717948717949;35;78
"33-9093.00";"51-2061.00";"33-9093.00";"51-2061.00";0,556962025316456;44;79
"33-9093.00";"51-9071.06";"33-9093.00";"51-9071.06";0,538461538461538;42;78
