"skill1","skill2","name1","name2","weight","count","occupation_count"
"1.A.1.a.1","1.A.1.a.2","Oral Comprehension","Written Comprehension",9.8620235952953,9,9
"1.A.1.a.1","1.A.1.a.3","Oral Comprehension","Oral Expression",11.7151111962722,11,11
"1.A.1.a.1","1.A.1.a.4","Oral Comprehension","Written Expression",8.76645732692764,8,8
"1.A.1.a.1","1.A.1.b.1","Oral Comprehension","Fluency of Ideas",7.36814829740436,7,7
"1.A.1.a.1","1.A.1.b.2","Oral Comprehension","Originality",9.48479632547692,9,9
"1.A.1.a.1","1.A.1.b.3","Oral Comprehension","Problem Sensitivity",5.38833000204124,5,5
"1.A.1.a.1","1.A.1.b.4","Oral Comprehension","Deductive Reasoning",10.6122703359717,10,10
"1.A.1.a.1","1.A.1.b.5","Oral Comprehension","Inductive Reasoning",6.38699047719498,6,6
"1.A.1.a.1","1.A.1.b.6","Oral Comprehension","Information Ordering",8.32271604982415,8,8
"1.A.1.a.1","1.A.1.b.7","Oral Comprehension","Category Flexibility",5.34166920393839,5,5
"1.A.1.a.1","1.A.1.c.1","Oral Comprehension","Mathematical Reasoning",5.5285281630161,5,5
"1.A.1.a.1","1.A.1.c.2","Oral Comprehension","Number Facility",5.42316487451068,5,5
"1.A.1.a.1","1.A.1.d.1","Oral Comprehension","Memorization",6.42210857458836,6,6
"1.A.1.a.1","1.A.1.e.1","Oral Comprehension","Speed of Closure",4.35136709205691,4,4
"1.A.1.a.1","1.A.1.e.2","Oral Comprehension","Flexibility of Closure",4.35133239674271,4,4
"1.A.1.a.1","1.A.1.e.3","Oral Comprehension","Perceptual Speed",6.36487840866751,6,6
"1.A.1.a.1","1.A.1.f.1","Oral Comprehension","Spatial Orientation",4.34480802915236,4,4
"1.A.1.a.1","1.A.1.f.2","Oral Comprehension","Visualization",6.33628944859296,6,6
"1.A.1.a.1","1.A.1.g.1","Oral Comprehension","Selective Attention",5.42367972354033,5,5
"1.A.1.a.1","1.A.1.g.2","Oral Comprehension","Time Sharing",6.50318961447601,6,6
"1.A.1.a.1","1.A.2.a.1","Oral Comprehension","Arm-Hand Steadiness",7.50119791081742,7,7
"1.A.1.a.1","1.A.2.a.2","Oral Comprehension","Manual Dexterity",6.35941589538992,6,6
